City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Taltal,CL,2021-08-03 00:00:20,-25.4,-70.4833,60.15,73,20,3.6
98,Bluff,NZ,2021-08-03 00:04:18,-46.6,168.3333,48.79,61,70,8.77
99,Mahebourg,MU,2021-08-03 00:04:18,-20.4081,57.7,66.79,70,1,3.78
100,Mar Del Plata,AR,2021-08-03 00:04:18,-38.0023,-57.5575,53.13,31,2,4.0
101,Ust-Kan,RU,2021-08-03 00:04:19,50.9276,84.761,56.59,75,55,4.88
102,Hilo,US,2021-08-03 00:04:13,19.7297,-155.09,80.33,80,75,3.44
103,Balkanabat,TM,2021-08-03 00:04:19,39.5108,54.3671,87.85,17,99,2.71
104,Poronaysk,RU,2021-08-03 00:04:20,49.2167,143.1167,63.23,70,0,9.75
105,Mattru,SL,2021-08-03 00:04:20,7.6244,-11.8332,71.01,88,18,2.06
106,Mirnyy,RU,2021-08-03 00:04:21,62.5353,113.9611,67.17,44,31,9.46
107,Busselton,AU,2021-08-03 00:04:22,-33.65,115.3333,54.41,79,100,7.74
108,Saskylakh,RU,2021-08-03 00:04:22,71.9167,114.0833,68.09,49,45,9.37
109,New Norfolk,AU,2021-08-03 00:04:23,-42.7826,147.0587,48.92,79,100,1.72
110,Lebu,CL,2021-08-03 00:04:23,-37.6167,-73.65,52.54,81,15,20.98
111,Oliver,CA,2021-08-03 00:02:13,49.1831,-119.5524,99.37,16,98,6.2
112,Avarua,CK,2021-08-03 00:04:24,-21.2078,-159.775,80.65,74,75,11.5
113,Nikolskoye,RU,2021-08-03 00:04:24,59.7035,30.7861,58.89,97,100,16.33
114,Mackenzie,CA,2021-08-03 00:02:14,55.2999,-123.1698,77.65,62,54,0.2
115,Bath,GB,2021-08-03 00:00:19,51.3779,-2.3591,57.42,93,96,0.25
116,Clyde River,CA,2021-08-03 00:04:25,70.4692,-68.5914,37.63,93,90,4.61
117,Boma,GH,2021-08-03 00:04:25,7.0805,-2.1697,70.48,95,95,1.03
118,Plettenberg Bay,ZA,2021-08-03 00:04:26,-34.0527,23.3716,56.44,65,2,4.68
119,Dhidhdhoo,MV,2021-08-03 00:04:26,6.8833,73.1,81.86,73,97,6.6
120,Inhambane,MZ,2021-08-03 00:04:27,-23.865,35.3833,67.53,79,5,13.04
121,Kimbe,PG,2021-08-03 00:04:27,-5.5502,150.1429,81.43,79,68,2.68
122,Qaanaaq,GL,2021-08-03 00:04:27,77.484,-69.3632,45.39,67,100,1.57
123,Husavik,IS,2021-08-03 00:04:28,66.0449,-17.3389,52.84,89,83,2.46
124,Torbay,CA,2021-08-03 00:03:20,47.6666,-52.7314,63.48,76,100,7.27
125,Brae,GB,2021-08-03 00:04:29,60.3964,-1.353,51.71,72,100,1.32
126,Porto Novo,BJ,2021-08-03 00:04:29,6.4965,2.6036,76.01,92,100,5.75
