City ID,City,Country,Max Temp,Lat,Lng,Hotel Name
323,Davila,PH,81.36,18.4726,120.5763,Blue Ridge Beach Resort
324,Acapulco,MX,85.23,16.8634,-99.8901,HS Hotsson Smart Acapulco
326,Woodward,US,83.43,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
327,Cobija,BO,72.28,-11.0267,-68.7692,Hotel Obelisco
328,Buin,CL,65.73,-33.7333,-70.75,Paihuen
330,Tooele,US,81.18,40.5308,-112.2983,"Holiday Inn Express & Suites Tooele, an IHG Hotel"
331,Airai,TL,67.59,-8.9266,125.4092,Juvinal Martin
332,Sorong,ID,81.75,-0.8833,131.25,waigo splash hotel
333,Sibolga,ID,76.69,1.7427,98.7792,Hotel Syariah CN Darussalam
334,Bafoulabe,ML,75.61,13.8065,-10.8321,
335,Ulaangom,MN,65.98,49.9811,92.0667,Achit Nuur Hotel & Restaurant
336,Bontang,ID,78.84,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
337,Guerrero Negro,MX,80.31,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
339,Ponta Delgada,PT,68.72,37.7333,-25.6667,Vila Nova Hotel
340,Wewak,PG,82.62,-3.5534,143.6268,In Wewak Boutique Hotel
341,Aracati,BR,79.18,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
342,Lata,PT,62.04,40.1629,-8.3327,Casa Maquia
344,Kieta,PG,83.64,-6.2167,155.6333,Uruna Bay Retreat
345,Trinidad,BO,71.22,-14.8333,-64.9,Hotel Piesta
346,Miyako,JP,84.9,39.6367,141.9525,Hotel Route Inn Miyako
348,Alofi,NU,74.75,-19.0595,-169.9187,Taloa Heights
350,Praia Da Vitoria,PT,74.75,38.7333,-27.0667,Hotel Branco I
354,Richards Bay,ZA,63.72,-28.783,32.0377,BON Hotel Waterfront Richards Bay
355,Danville,US,80.2,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
356,Dzhebariki-Khaya,RU,71.91,62.2167,135.8,
358,Kochi,IN,75.18,9.9399,76.2602,Hotel Abad
359,Zacualtipan,MX,66.88,20.65,-98.6,Camino Real a Tizapán
360,Kropotkin,RU,74.48,45.4375,40.5756,Hotel Europe Kropotkin
362,Puerto Carreno,CO,71.46,6.189,-67.4859,Casa Hotel Victoria
364,Nassau,US,79.66,40.7507,-73.5829,Hilton Garden Inn Westbury
365,Anloga,GH,77.14,5.7947,0.8973,Pin Drop Hotel
367,Birin,NP,63.48,26.8865,88.0718,Sangam hotel and lodge
368,Mayo,US,79.0,38.8876,-76.5119,Resorts Resource Group International
369,Dunmore Town,BS,83.32,25.5,-76.65,Coral Sands Hotel
371,Asau,RO,61.72,46.4333,26.4,Casa Mika Ciobanus
372,Shirokiy,RU,69.98,49.758,129.523,
373,Khor,RU,76.78,47.8861,134.9464,Gostinitsa Deksi
374,Hasaki,JP,88.29,35.7333,140.8333,Hotel Sunrise Choshi
375,Hun,LY,83.89,29.1268,15.9477,Alrwasi Hotel
376,Hambantota,LK,79.16,6.1241,81.1185,Bungalow 63
379,Oktyabrskoye,RU,60.94,43.0645,44.7417,Prolesok Mini-hotel
380,La Ronge,CA,81.27,55.1001,-105.2842,Northland Motor Hotel
381,Sinazongwe,ZM,65.05,-17.2614,27.4618,Lakeview Lodge
384,Derzhavinsk,KZ,69.53,51.1,66.3167,Ooo.khim Baza
386,Khipro,PK,82.76,25.8285,69.3772,Mukesh Bhojraj Khatri Graphix Khipro
